Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	193988000000",38.68,0.00,0,Materials
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	169967000000",100.77,0.00,0,Financials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	140369000000",289.84,0.00,0,"Health Care"
ASX:NAB,"National Australia Bank (ASX:NAB)",https://www.listcorp.com/asx/nab/nab,"	96384200000",30.6,0.00,0,Financials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	75029200000",21.51,0.00,0,Financials
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	69136800000",181.13,0.00,0,Financials
ASX:ANZ,"ANZ Banking Group Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-banking-group-limited,"	63624000000",22.9,0.00,0,Financials
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	60703000000",31.98,0.00,0,Energy
ASX:FMG,"Fortescue Metals Group (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-metals,"	57576600000",18.34,0.00,0,Materials
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers,"	52496800000",46.63,0.00,0,"Consumer Discretionary"
ASX:WOW,"Woolworths Group Limited (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	45448500000",37.52,0.00,0,"Consumer Staples"
ASX:TLS,"Telstra Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-limited,"	45062300000",3.89,0.00,0,"Communication Services"
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban,"	44095500000",14.51,0.00,0,Industrials
